feature,corr,abs_corr
FS_release_pos_y_mean_chg1_5g_ratio,-0.39402820008223266,0.39402820008223266
KC_pfx_z_mean_5g_ratio,0.27744234769586806,0.27744234769586806
KC_release_speed_min_roll5_std_5g_ratio,0.16549369463020452,0.16549369463020452
KC_pfx_x_mean_5g_ratio,0.16455959805988296,0.16455959805988296
KC_pfx_z_std_5g_ratio,0.153240148614272,0.153240148614272
KC_release_speed_mean_roll5_std_5g_ratio,0.13858785261951823,0.13858785261951823
CU_release_spin_rate_mean_roll5_mean_5g_ratio,-0.13842057220268403,0.13842057220268403
FS_release_spin_rate_std_roll5_std_5g_ratio,0.13053586494682984,0.13053586494682984
KC_release_spin_rate_std_roll5_mean_5g_ratio,0.12968429664581815,0.12968429664581815
FS_release_pos_z_mean_roll5_mean_5g_ratio,0.1270890813919628,0.1270890813919628
ST_release_pos_x_std_5g_ratio,-0.12686675833583483,0.12686675833583483
FF_pfx_x_mean_roll5_mean_5g_ratio,-0.11975365653505643,0.11975365653505643
SL_release_spin_rate_mean_roll5_mean_5g_ratio,-0.11584371047583858,0.11584371047583858
KC_release_speed_count_roll5_std_5g_ratio,0.10876201710540558,0.10876201710540558
KC_release_pos_z_mean_roll5_mean_5g_ratio,0.10139118320529757,0.10139118320529757
FS_release_spin_rate_mean_roll5_mean_5g_ratio,0.10079996905553129,0.10079996905553129
KC_release_pos_x_std_roll5_mean_5g_ratio,0.09944457283241533,0.09944457283241533
KC_pfx_x_mean_roll5_std_5g_ratio,0.09699309089438655,0.09699309089438655
CU_release_speed_std_roll5_std_5g_ratio,0.09301658652403164,0.09301658652403164
KC_release_speed_std_roll5_std_5g_ratio,0.09300285076796164,0.09300285076796164
